,country,id,cl,age_of_biz,onboard_date,stmt_start,stmt_end,-3_inflow,-2_inflow,-1_inflow,-3_outflow,-2_outflow,-1_outflow,-3_net_cash,-2_net_cash,-1_net_cash,-3_end_bal,-2_end_bal,-1_end_bal,cb_report_found,cb_inquiries_l12m,cb_trades_30_plus_l6m,cb_trades_repaid,cb_trades_active
29,Colombia,10882,500,5,1/1/2023,9/1/2022,12/1/2022,188000,340000,45500,172000,173000,210000,15900,167000,-165000,46500,214000,49100,1,0,0,0,0
30,Colombia,10946,1000,6,1/1/2023,9/1/2022,12/1/2022,14600,12300,9190,19600,10500,12900,-5010,1750,-3750,1590,3340,-415,1,0,0,2,3
31,Colombia,10950,1000,17,1/1/2023,9/1/2022,12/1/2022,20200,14000,17800,13500,8840,22000,6750,5160,-4200,9750,14900,10700,1,0,0,7,2
32,Colombia,11005,1000,3,1/1/2023,9/1/2022,12/1/2022,11100,10600,12000,20700,9380,6240,-9580,1180,5770,1920,3100,8870,1,0,0,0,0
33,Colombia,11034,5000,11,1/1/2023,9/1/2022,12/1/2022,45400,39300,91600,47400,36600,90100,-2060,2690,1560,-552,2130,3690,1,2,0,2,6
34,Colombia,11058,5000,3,1/1/2023,9/1/2022,12/1/2022,759000,853000,219000,761000,937000,225000,-2030,-84600,-5710,93300,8720,3010,0,,,,
35,Colombia,11069,15000,2,1/1/2023,9/1/2022,12/1/2022,128000,129000,132000,117000,132000,130000,10800,-3600,2430,16000,12400,14900,1,0,0,0,2
36,Colombia,11092,6500,9,1/1/2023,9/1/2022,12/1/2022,63600,132000,113000,72400,147000,113000,-8850,-15300,-44,16200,828,783,1,2,0,7,16
37,Colombia,11136,2000,8,1/1/2023,9/1/2022,12/1/2022,54100,23800,36900,51700,47000,29700,2400,-23200,7170,38600,15400,22600,1,0,0,0,0
38,Colombia,11153,2000,5,1/1/2023,9/1/2022,12/1/2022,35600,28600,21300,30400,30100,30800,5160,-1550,-9500,26600,25100,15600,1,0,0,0,0
39,Colombia,11210,2000,7,1/1/2023,9/1/2022,12/1/2022,46100,24800,110000,28800,54800,37200,17300,-30100,72900,103000,72800,146000,1,0,0,0,0
40,Colombia,11231,2000,14,1/1/2023,9/1/2022,12/1/2022,23400,19500,33000,22600,21500,30400,830,-1940,2600,2930,994,3590,1,3,0,0,1
41,Colombia,11241,5000,12,1/1/2023,9/1/2022,12/1/2022,38900,44600,71400,66800,44600,54700,-27900,-75,16700,31000,30900,47600,1,1,0,3,7
42,Colombia,11045,30000,10,2/1/2023,10/1/2022,1/1/2023,819000,1050000,1110000,975000,1060000,1500000,-156000,-13100,-393000,950000,937000,544000,1,6,0,21,58
43,Colombia,11078,1000,9,2/1/2023,10/1/2022,1/1/2023,20900,11600,18800,20100,11500,19700,777,88,-865,800,888,23,1,2,0,0,0
44,Colombia,11105,12000,19,2/1/2023,10/1/2022,1/1/2023,211000,158000,241000,226000,200000,208000,-15400,-42200,33700,51400,9210,42900,1,5,1,25,12
45,Colombia,11120,5000,2,2/1/2023,10/1/2022,1/1/2023,76700,98700,45400,66700,79500,85000,9990,19200,-39500,47600,66800,27300,1,0,0,0,0
46,Colombia,11163,40000,9,2/1/2023,10/1/2022,1/1/2023,468000,457000,608000,498000,440000,623000,-29400,17100,-14600,-1690,15400,814,1,1,0,25,22
47,Colombia,11174,5000,8,2/1/2023,10/1/2022,1/1/2023,101000,110000,101000,99700,108000,102000,1570,1750,-822,22300,24000,23200,1,8,0,0,3
48,Colombia,11212,12000,10,2/1/2023,10/1/2022,1/1/2023,148000,118000,153000,152000,116000,142000,-3930,2260,11100,-3820,-1570,9530,1,4,1,3,11
49,Colombia,11216,10000,7,2/1/2023,10/1/2022,1/1/2023,143000,24700,11300,79800,75300,44900,63300,-50700,-33600,112000,61300,27600,1,0,0,0,0
50,Colombia,11217,3000,3,2/1/2023,10/1/2022,1/1/2023,78500,122000,183000,88700,123000,181000,-10200,-1620,2150,5830,4210,6350,1,2,0,0,1
51,Colombia,11274,20000,10,2/1/2023,10/1/2022,1/1/2023,131000,208000,292000,132000,207000,248000,-1770,982,44000,558,1540,45600,1,8,2,4,3
52,Colombia,11292,5000,3,2/1/2023,10/1/2022,1/1/2023,127000,90700,179000,125000,92700,162000,1910,-1970,17300,5120,3150,20400,1,0,0,1,1
53,Colombia,11317,1000,4,2/1/2023,10/1/2022,1/1/2023,46900,63100,59100,46600,68500,83500,314,-5440,-24400,32200,26700,2300,1,1,0,0,1
54,Colombia,11318,4000,5,2/1/2023,10/1/2022,1/1/2023,37400,35000,56700,38100,31500,58900,-754,3510,-2130,597,4100,1970,1,5,0,0,8
55,Colombia,11326,1000,3,2/1/2023,10/1/2022,1/1/2023,3630,434,9110,5810,7890,8720,-2180,-7460,392,7570,117,508,1,0,0,0,0
56,Colombia,11337,1000,8,2/1/2023,10/1/2022,1/1/2023,16700,9780,28400,10500,20100,21700,6160,-10400,6740,30300,20000,26700,1,1,1,0,1
57,Colombia,11368,5000,2,2/1/2023,10/1/2022,1/1/2023,117000,111000,121000,107000,139000,124000,9540,-27900,-2950,111000,82800,79900,0,,,,
58,Colombia,11387,1000,1,2/1/2023,10/1/2022,1/1/2023,15500,14600,17300,16500,18800,18300,-1020,-4120,-960,11700,7600,6640,1,0,0,0,0
59,Colombia,11405,50000,21,2/1/2023,10/1/2022,1/1/2023,277000,297000,486000,467000,448000,387000,-190000,-150000,98800,574000,423000,522000,1,3,2,6,6
60,Colombia,11433,15000,3,2/1/2023,10/1/2022,1/1/2023,191000,194000,198000,186000,188000,200000,5000,5430,-2480,15200,20600,18100,1,0,0,0,0
61,Colombia,11473,20000,23,2/1/2023,10/1/2022,1/1/2023,197000,200000,245000,182000,199000,208000,14700,1250,36200,27100,28300,64500,1,3,1,0,1
62,Colombia,11499,2400,3,2/1/2023,10/1/2022,1/1/2023,49400,34900,27500,48000,36300,27000,1380,-1390,537,1420,37,574,1,3,0,0,2
63,Colombia,11531,25000,8,2/1/2023,10/1/2022,1/1/2023,197000,157000,243000,195000,147000,275000,1830,9830,-32200,53200,63000,30800,1,0,0,0,1
64,Colombia,11532,75000,14,2/1/2023,10/1/2022,1/1/2023,870000,931000,834000,843000,995000,842000,26800,-63300,-7860,72700,9380,1530,1,2,4,69,26
65,Colombia,11589,10000,6,2/1/2023,10/1/2022,1/1/2023,168000,65500,112000,174000,55500,119000,-5180,9990,-7310,5950,15900,8630,0,,,,
66,Colombia,10619,5000,19,3/1/2023,11/1/2022,2/1/2023,413000,765000,448000,346000,812000,438000,66300,-47300,9320,309000,261000,271000,1,0,0,0,0
67,Colombia,11325,40000,4,3/1/2023,11/1/2022,2/1/2023,58000,39600,54100,57200,40100,54000,848,-578,81,1090,507,588,1,2,6,34,69
68,Colombia,11349,5000,2,3/1/2023,11/1/2022,2/1/2023,581000,1230000,171000,88900,627000,293000,492000,600000,-122000,519000,1120000,997000,1,2,0,0,0
69,Colombia,11412,20000,15,3/1/2023,11/1/2022,2/1/2023,1190000,1860000,3880000,3430000,4480000,1950000,-2240000,-2630000,1930000,3990000,1360000,3290000,1,2,0,3,2
70,Colombia,11454,9800,3,3/1/2023,11/1/2022,2/1/2023,293000,233000,128000,309000,138000,176000,-15900,95400,-48300,24100,119000,71200,0,,,,
71,Colombia,11488,23000,10,3/1/2023,11/1/2022,2/1/2023,4250,2170,3320,1580,3950,1600,2660,-1780,1720,2710,933,2660,1,0,1,3,10
72,Colombia,11511,10000,14,3/1/2023,11/1/2022,2/1/2023,710000,102000,64500,301000,225000,151000,409000,-123000,-86100,407000,284000,198000,1,1,0,7,8
73,Colombia,11540,45000,42,3/1/2023,11/1/2022,2/1/2023,1640000,1580000,1130000,1490000,1550000,1060000,141000,32400,64600,175000,207000,272000,1,4,0,589,20
74,Colombia,11549,6000,9,3/1/2023,11/1/2022,2/1/2023,107000,144000,221000,108000,126000,245000,-1080,17200,-24400,8470,25600,1270,1,0,0,0,0
75,Colombia,11587,30000,42,3/1/2023,11/1/2022,2/1/2023,1010000,1000000,987000,1130000,1150000,1160000,-119000,-143000,-169000,327000,184000,14900,1,4,0,18,33
76,Colombia,11591,10500,17,3/1/2023,11/1/2022,2/1/2023,233000,235000,197000,205000,259000,198000,28600,-24200,-1270,32800,8630,7360,1,1,0,3,9
77,Colombia,11640,35000,15,3/1/2023,11/1/2022,2/1/2023,388000,398000,303000,366000,369000,377000,21600,28500,-74200,49500,78000,3850,0,,,,
78,Colombia,11651,130000,8,3/1/2023,11/1/2022,2/1/2023,988000,1450000,1950000,905000,1490000,1950000,83300,-46400,4920,229000,183000,188000,1,2,8,176,81
79,Colombia,11653,18000,7,3/1/2023,11/1/2022,2/1/2023,200000,206000,228000,188000,191000,241000,12400,15200,-12500,27000,42100,29600,1,1,1,2,1
80,Colombia,11782,16000,6,4/1/2023,12/1/2022,3/1/2023,558000,351000,343000,538000,369000,348000,20100,-17800,-4740,17600,-142,-4880,1,2,0,4,8
